Customer ID,Churn Label,Account Length (in months),Local Calls,Local Mins,Intl Calls,Intl Mins,Intl Active,Intl Plan,Extra International Charges,Customer Service Calls,Avg Monthly GB Download,Unlimited Data Plan,Extra Data Charges,State,Phone Number,Gender,Age,Under 30,Senior,Group,Number of Customers in Group,Device Protection & Online Backup,Contract Type,Payment Method,Monthly Charge,Total Charges,Churn Category,Churn Reason
8785-ENDQ,No,1,2,6,0,0,No,no,0,0,0,No,0,AZ,360-1596,Male,34,No,No,No,0,No,Month-to-Month,Direct Debit,11,11,,
0640-LNBK,No,1,2,7,0,0,No,no,0,0,4,Yes,0,OK,395-2854,Male,76,No,Yes,No,0,No,One Year,Direct Debit,29,29,,
4782-CHZM,No,73,162,435.5,0,0,No,no,0,0,7,Yes,0,GA,362-1407,Female,58,No,No,No,0,No,Two Year,Direct Debit,43,3121,,
1380-YANO,No,47,264,759,0,0,No,no,0,0,23,Yes,0,MA,353-3305,Female,21,Yes,No,No,0,Yes,Month-to-Month,Credit Card,41,1926,,
2754-HZFE,No,10,46,105.6,0,0,No,no,0,0,2,Yes,0,GA,372-9976,Male,51,No,No,No,0,No,One Year,Credit Card,27,262,,
4676-RXAH,No,70,187,422.5,1050,1022,Yes,yes,0,0,5,No,36,MD,383-6029,Female,56,No,No,No,0,No,Two Year,Credit Card,24,1676,,
6145-MBHF,No,20,40,141.1,0,0,No,no,0,0,0,No,0,AR,353-7289,Female,28,Yes,No,No,0,No,One Year,Credit Card,9,180,,
5992-ZZKY,No,61,229,487.1,0,0,No,no,0,0,6,Yes,0,ID,390-7274,Female,39,No,No,No,0,Yes,Two Year,Credit Card,52,3151,,
8539-DXRY,No,13,34,103,0,0,No,no,0,0,7,Yes,0,WI,352-1237,Female,41,No,No,No,0,No,Month-to-Month,Direct Debit,32,417,,
7420-TFLD,No,46,234,554.8,0,0,No,no,0,0,6,Yes,0,OR,353-3061,Female,53,No,No,No,0,No,Month-to-Month,Direct Debit,28,1316,,
0346-QDGF,No,2,10,17.7,0,0,No,no,0,0,24,Yes,0,MI,363-5450,Male,22,Yes,No,No,0,No,Month-to-Month,Credit Card,21,41,,
1564-AAIM,No,53,409,846.2,0,0,No,no,0,0,37,Yes,0,ID,398-1294,Male,25,Yes,No,No,0,No,Two Year,Credit Card,51,2680,,
8995-MKVE,No,66,204,397.9,0,0,No,no,0,0,3,No,16,WY,405-7146,Female,62,No,No,No,0,Yes,Two Year,Credit Card,35,2351,,
5708-KVWR,No,43,86,255.2,0,0,No,no,0,0,7,Yes,0,IA,413-4957,Female,69,No,Yes,No,0,No,One Year,Direct Debit,41,1761,,
6307-TNXU,No,25,72,227,0,0,No,no,0,0,1,Yes,0,VA,349-4396,Female,63,No,No,No,0,No,One Year,Credit Card,32,799,,
7343-GNPD,No,60,233,595.4,0,0,No,no,0,0,8,Yes,0,WY,353-3759,Female,77,No,Yes,No,0,Yes,One Year,Credit Card,44,2639,,
8190-LOMP,No,63,128,316.7,0,0,No,no,0,0,3,Yes,0,CO,340-5121,Female,43,No,No,No,0,No,One Year,Credit Card,47,2999,,
9766-ZUAF,No,65,241,456.7,0,0,No,no,0,0,2,Yes,0,CO,370-7574,Male,82,No,Yes,No,0,Yes,One Year,Direct Debit,64,4167,,
0521-NSRI,No,36,88,179.2,0,0,No,no,0,0,0,No,0,WI,403-9733,Female,59,No,No,No,0,No,Two Year,Credit Card,12,440,,
1260-SRKC,No,73,460,1022.8,0,0,No,no,0,0,7,No,33,OK,355-7251,Female,43,No,No,No,0,Yes,Two Year,Credit Card,37,2702,,
5130-MPZE,No,47,178,421.5,0,0,No,no,0,0,4,Yes,0,ID,359-5893,Female,33,No,No,No,0,Yes,Month-to-Month,Direct Debit,48,2254,,
7466-XCMA,Yes,61,107,242.5,0,0,No,no,0,0,13,Yes,0,CA,405-3371,Male,29,Yes,No,No,0,No,Month-to-Month,Direct Debit,45,2717,,
2267-OQZH,No,70,187,492.5,0,0,No,no,0,0,9,Yes,0,MN,344-5117,Male,35,No,No,No,0,Yes,Two Year,Direct Debit,24,1715,,
9314-HLWC,No,18,36,123.2,0,0,No,no,0,0,1,Yes,0,SD,332-8160,Female,46,No,No,No,0,Yes,One Year,Credit Card,19,342,,
5957-MTAG,No,3,6,16.2,0,0,No,no,0,0,5,Yes,0,WA,352-8305,Female,51,No,No,No,0,No,Month-to-Month,Direct Debit,46,149,,
6076-RCCT,No,46,300,740.2,184,427.8,Yes,yes,0,0,15,Yes,0,WY,329-9847,Male,35,No,No,No,0,No,One Year,Direct Debit,50,2325,,
0476-UFII,No,32,64,126.1,256,265.6,Yes,yes,0,0,9,No,32,MN,365-9011,Female,59,No,No,No,0,Yes,Two Year,Credit Card,30,960,,
9560-DMCL,No,46,118,369.6,0,0,No,no,0,0,0,No,0,UT,338-9472,Female,40,No,No,No,0,No,Two Year,Direct Debit,12,543,,
5297-BENZ,No,11,81,166.7,0,0,No,no,0,0,14,Yes,0,TX,374-8042,Male,29,Yes,No,No,0,Yes,Month-to-Month,Credit Card,48,537,,
8822-KJPV,No,1,4,14,0,0,No,no,0,0,3,Yes,0,NJ,359-1231,Male,42,No,No,No,0,No,Month-to-Month,Credit Card,27,27,,
5559-DOEH,No,53,228,695,0,0,No,no,0,0,0,No,0,MN,413-7170,Female,24,Yes,No,No,0,No,One Year,Direct Debit,7,372,,
0544-HTAB,No,64,94,254.4,0,0,No,no,0,0,5,Yes,0,NM,415-2935,Male,76,No,Yes,No,0,Yes,Two Year,Direct Debit,60,3811,,
1633-FVON,No,59,300,587.5,0,0,No,no,0,0,0,No,0,NV,399-4246,Male,39,No,No,No,0,No,Two Year,Direct Debit,11,674,,
1299-WYLC,No,56,168,500,0,0,No,no,0,0,10,Yes,0,MN,350-8921,Female,70,No,Yes,No,0,Yes,One Year,Direct Debit,61,3397,,
1712-GSRD,No,48,251,724.8,0,0,No,no,0,0,4,Yes,0,DC,374-5353,Female,54,No,No,No,0,No,One Year,Credit Card,30,1434,,
9518-SUYQ,No,28,108,282.4,0,0,No,no,0,0,1,Yes,0,MN,355-8887,Male,85,No,Yes,No,0,No,One Year,Direct Debit,28,796,,
2605-TOXT,No,47,116,281.8,0,0,No,no,0,0,0,No,0,MD,333-1967,Female,47,No,No,No,0,No,One Year,Credit Card,16,755,,
3733-EZWS,No,42,96,291.8,0,0,No,no,0,0,9,No,51,GA,411-1530,Female,37,No,No,No,0,Yes,Month-to-Month,Direct Debit,59,2452,,
6341-KAZD,No,48,96,289.8,0,0,No,no,0,0,0,No,0,TX,395-3026,Female,34,No,No,No,0,No,Two Year,Direct Debit,7,340,,
9484-NQCR,No,9,45,148,0,0,No,no,0,0,14,Yes,0,VT,388-6441,Male,29,Yes,No,No,0,No,Month-to-Month,Credit Card,47,439,,
6102-OALZ,No,36,248,534.7,0,0,No,no,0,0,6,Yes,0,IN,402-1251,Female,55,No,No,No,0,No,One Year,Direct Debit,22,786,,
9351-ELBM,No,51,292,767.8,0,0,No,no,0,0,0,No,0,WV,412-9997,Female,24,Yes,No,No,0,No,Two Year,Direct Debit,12,638,,
7023-YWYM,No,46,145,325.3,0,0,No,no,0,0,0,No,0,KY,346-7302,Female,60,No,No,No,0,No,Two Year,Credit Card,13,616,,
0993-JKUA,No,30,67,179.4,0,0,No,no,0,0,4,Yes,0,NJ,358-9095,Male,46,No,No,No,0,No,Month-to-Month,Credit Card,19,577,,
1629-PDTQ,No,1,3,7,0,0,No,no,0,0,0,Yes,0,LA,334-1275,Male,76,No,Yes,No,0,No,One Year,Direct Debit,42,42,,
3558-BXMZ,No,68,254,612.2,0,0,No,no,0,0,9,Yes,0,AR,340-4953,Male,61,No,No,No,0,Yes,Two Year,Credit Card,47,3187,,
0388-CPEE,No,64,274,768,0,0,No,no,0,0,7,Yes,0,ME,400-9510,Female,48,No,No,No,0,Yes,Month-to-Month,Credit Card,48,3049,,
2562-HWYM,No,74,407,1108.9,0,0,No,no,0,0,3,Yes,0,AZ,387-6103,Male,56,No,No,No,0,Yes,Two Year,Direct Debit,44,3237,,
3797-KBSC,No,71,136,355.2,0,0,No,no,0,0,13,Yes,0,MT,370-3450,Male,48,No,No,No,0,No,One Year,Credit Card,31,2180,,
8928-KDDO,No,53,146,316.3,0,0,No,no,0,0,0,No,0,MS,355-6291,Male,66,No,Yes,No,0,No,Two Year,Direct Debit,7,372,,
5582-SNME,No,1,5,12,0,0,No,no,0,0,0,No,0,IA,379-6506,Male,19,Yes,No,No,0,No,Month-to-Month,Credit Card,12,12,,
7652-MWGQ,No,38,197,417.5,0,0,No,no,0,0,11,Yes,0,VT,354-3783,Male,33,No,No,No,0,Yes,One Year,Direct Debit,63,2392,,
9413-CTHP,No,66,349,864,0,0,No,no,0,0,3,Yes,0,KY,401-7594,Female,69,No,Yes,No,0,Yes,One Year,Direct Debit,26,1739,,
1874-MSLN,No,4,11,33,0,0,No,no,0,0,4,Yes,0,AZ,334-2577,Male,34,No,No,No,0,No,Month-to-Month,Credit Card,15,63,,
4455-SIDH,No,70,236,701.2,0,0,No,no,0,0,12,Yes,0,MI,400-3637,Female,27,Yes,No,No,0,No,One Year,Direct Debit,66,4593,,
1457-BNEN,No,31,213,400,0,0,No,no,0,0,4,Yes,0,NM,383-4361,Female,58,No,No,No,0,No,One Year,Credit Card,13,407,,
2274-VJTM,No,42,195,457.2,0,0,No,no,0,0,4,Yes,0,CO,371-4306,Male,54,No,No,No,0,No,One Year,Credit Card,62,2556,,
2030-STOC,No,70,199,491.9,0,0,No,no,0,0,0,No,0,UT,403-4298,Male,37,No,No,No,0,No,Two Year,Credit Card,12,875,,
0334-QKJY,No,52,222,577.5,0,0,No,no,0,0,2,Yes,0,MA,337-4697,Female,38,No,No,No,0,Yes,One Year,Credit Card,37,1939,,
8840-GNVV,No,43,211,474.6,0,0,No,no,0,0,6,Yes,0,AL,383-1509,Female,35,No,No,No,0,Yes,Month-to-Month,Direct Debit,57,2451,,
8778-MXAA,No,63,249,564.3,0,0,No,no,0,0,6,Yes,0,AZ,407-7035,Female,51,No,No,No,0,No,Two Year,Direct Debit,27,1699,,
6377-YEVD,No,36,235,399,0,0,No,no,0,0,9,Yes,0,NJ,391-4652,Female,65,No,Yes,No,0,No,Two Year,Direct Debit,11,410,,
0111-ULQC,No,40,118,242.7,0,0,No,no,0,0,0,No,0,MO,409-1244,Female,51,No,No,No,0,No,Two Year,Credit Card,13,525,,
0921-JRAS,No,55,89,276.3,0,0,No,no,0,0,24,Yes,0,NE,352-7072,Female,27,Yes,No,No,0,Yes,One Year,Credit Card,39,2146,,
4190-OQWW,No,5,34,76.3,0,0,No,no,0,0,0,No,0,TX,370-7550,Female,34,No,No,No,0,No,Month-to-Month,Credit Card,10,56,,
1772-EVXU,No,34,85,306.3,0,0,No,no,0,0,5,Yes,0,AZ,354-4445,Male,57,No,No,No,0,No,Two Year,Direct Debit,44,1497,,
4640-ROSI,No,73,542,1171.3,0,0,No,no,0,0,0,No,0,MS,414-8718,Male,49,No,No,No,0,No,Two Year,Direct Debit,13,946,,
7232-MRQS,No,1,6,13,0,0,No,no,0,0,0,No,0,TX,409-5939,Male,44,No,No,No,0,No,Month-to-Month,Credit Card,13,13,,
1736-FGSI,No,71,296,706,0,0,No,no,0,0,7,Yes,0,NE,331-4902,Male,78,No,Yes,No,0,No,One Year,Direct Debit,29,2045,,
1908-BNLT,No,14,58,127.3,0,0,No,no,0,0,7,Yes,0,NE,353-6870,Female,48,No,No,No,0,No,Month-to-Month,Direct Debit,35,502,,
9998-OFMS,No,64,263,644.9,0,0,No,no,0,0,3,Yes,0,NJ,390-6101,Male,64,No,No,No,0,No,Two Year,Direct Debit,32,2034,,
4988-DNKW,No,46,164,416.1,138,515.2,Yes,yes,0,0,0,No,0,AL,387-2919,Female,41,No,No,No,0,No,Two Year,Credit Card,17,768,,
8781-YXBL,No,24,131,355.7,0,0,No,no,0,0,11,Yes,0,NY,374-8525,Female,40,No,No,No,0,No,Month-to-Month,Direct Debit,28,672,,
4923-PXAV,No,63,211,506,0,0,No,no,0,0,0,No,0,FL,379-5592,Female,23,Yes,No,No,0,No,Two Year,Credit Card,9,595,,
1867-FBPS,No,60,210,537.5,0,0,No,no,0,0,0,No,0,AK,345-8237,Male,62,No,No,No,0,No,Two Year,Credit Card,13,754,,
5088-QWNF,No,73,265,729.8,0,0,No,no,0,0,3,Yes,0,DE,346-2359,Female,68,No,Yes,No,0,Yes,Two Year,Credit Card,38,2808,,
5570-GABM,No,59,152,354.6,0,0,No,no,0,0,11,Yes,0,MI,381-4756,Female,38,No,No,No,0,No,Two Year,Direct Debit,59,3479,,
4316-MSBV,No,63,84,313.7,0,0,No,no,0,0,4,Yes,0,VT,390-2805,Male,33,No,No,No,0,No,One Year,Credit Card,40,2535,,
1501-UIMO,No,73,124,366.6,511,1029.3,Yes,yes,0,0,0,No,0,VT,390-2390,Male,70,No,Yes,No,0,No,Two Year,Direct Debit,8,621,,
5637-EXFL,No,65,121,259.1,0,0,No,no,0,0,3,Yes,0,MI,419-9097,Female,54,No,No,No,0,No,Two Year,Credit Card,55,3552,,
9631-SNXG,No,3,4,12.5,0,0,No,no,0,0,0,No,0,WA,386-7281,Male,45,No,No,No,0,No,One Year,Credit Card,9,27,,
9797-UVHV,No,30,146,329.1,0,0,No,no,0,0,1,No,0,LA,390-8760,Male,50,No,No,No,0,Yes,One Year,Credit Card,42,1259,,
6677-UAIY,No,73,170,366.6,0,0,No,no,0,0,16,Yes,0,OH,336-7600,Female,29,Yes,No,No,0,Yes,One Year,Credit Card,36,2676,,
3213-OZLH,No,61,211,484.6,0,0,No,no,0,0,6,Yes,0,RI,383-6293,Male,49,No,No,No,0,Yes,Two Year,Direct Debit,32,1956,,
9462-HMVN,No,22,115,281.5,0,0,No,no,0,0,8,No,34,OH,370-9116,Female,25,Yes,No,No,0,No,Month-to-Month,Direct Debit,43,924,,
6951-KCHP,No,21,103,270.9,0,0,No,no,0,0,0,No,0,VA,328-6289,Male,36,No,No,No,0,No,One Year,Credit Card,8,169,,
0603-QZRV,No,16,85,239.1,0,0,No,no,0,0,9,Yes,0,MO,350-9994,Male,41,No,No,No,0,Yes,Two Year,Credit Card,24,386,,
1476-JLHH,No,10,77,137.1,0,0,No,no,0,0,0,No,0,FL,351-4616,Male,43,No,No,No,0,No,Two Year,Direct Debit,15,142,,
4549-UHYE,No,2,4,11.6,0,0,No,no,0,0,2,Yes,0,IA,406-4710,Female,52,No,No,No,0,No,Month-to-Month,Direct Debit,35,68,,
3163-BOSK,No,54,330,642.7,0,0,No,no,0,0,1,Yes,0,MI,409-8743,Male,38,No,No,No,0,Yes,Two Year,Direct Debit,43,2293,,
2547-NBGO,No,11,84,159,0,0,No,no,0,0,0,No,0,OK,335-4584,Female,21,Yes,No,No,0,No,One Year,Credit Card,10,117,,
5341-UWGY,No,69,248,753.7,0,0,No,no,0,0,0,No,0,DE,361-9845,Male,43,No,No,No,0,No,Two Year,Credit Card,10,695,,
9859-GGCF,No,70,342,913.1,0,0,No,no,0,0,6,Yes,0,DC,329-9364,Male,38,No,No,No,0,Yes,Two Year,Direct Debit,52,3654,,
4822-HGQI,No,42,151,336.1,0,0,No,no,0,0,11,Yes,0,CO,338-9398,Male,59,No,No,No,0,Yes,One Year,Direct Debit,42,1778,,
9331-EMHQ,No,14,25,72.1,0,0,No,no,0,0,8,Yes,0,NM,381-2709,Male,51,No,No,No,0,Yes,Two Year,Credit Card,54,780,,
1022-MXDZ,No,32,145,350.4,0,0,No,no,0,0,0,No,0,LA,415-2393,Female,59,No,No,No,0,No,One Year,Direct Debit,12,372,,
8362-WLIZ,No,32,58,126.3,0,0,No,no,0,0,0,No,0,NE,377-1765,Prefer not to say,53,No,No,No,0,No,Month-to-Month,Direct Debit,10,319,,
1723-BADW,No,61,298,792,0,0,No,no,0,0,0,No,0,KS,411-4582,Male,24,Yes,No,No,0,No,One Year,Credit Card,9,543,,
7529-FNNU,No,1,7,10,0,0,No,no,0,0,21,Yes,0,AK,372-3750,Female,25,Yes,No,No,0,No,Month-to-Month,Credit Card,22,22,,
3212-TFMM,No,33,75,262.6,0,0,No,no,0,0,8,Yes,0,NH,361-3337,Male,38,No,No,No,0,Yes,One Year,Credit Card,43,1411,,
2593-RBZA,No,20,135,237.2,0,0,No,no,0,0,9,Yes,0,NY,422-1471,Male,44,No,No,No,0,No,Month-to-Month,Credit Card,34,669,,
0696-BYCU,No,3,17,43.2,0,0,No,no,0,0,30,Yes,0,AZ,399-7865,Male,21,Yes,No,No,0,No,Month-to-Month,Direct Debit,17,45,,
4944-CIHW,No,12,103,199.3,0,0,No,no,0,0,0,No,0,WY,373-4819,Female,59,No,No,No,0,No,One Year,Direct Debit,12,147,,
4245-YWPM,No,42,236,630.5,0,0,No,no,0,0,12,Yes,0,WA,338-6981,Female,66,No,Yes,No,0,No,Month-to-Month,Credit Card,36,1533,,
2095-XLTB,No,44,188,397.2,0,0,No,no,0,0,26,Yes,0,CO,418-4365,Male,24,Yes,No,No,0,No,One Year,Credit Card,25,1102,,
5985-QISQ,No,70,170,557.1,0,0,No,no,0,0,0,No,0,KY,375-3586,Female,41,No,No,No,0,No,Two Year,Direct Debit,9,616,,
7789-ZPFF,No,74,520,1111.6,0,0,No,no,0,0,2,Yes,0,MT,407-8376,Female,41,No,No,No,0,Yes,Two Year,Credit Card,41,3059,,
9712-UUEV,No,62,137,370.8,0,0,No,no,0,0,0,No,0,OK,408-6496,Male,36,No,No,No,0,No,Two Year,Credit Card,7,427,,
0443-JVDX,No,20,87,236.4,0,0,No,no,0,0,8,Yes,0,MD,385-7688,Female,31,No,No,No,0,No,Month-to-Month,Direct Debit,49,973,,
1497-NJGC,No,59,141,409.9,0,0,No,no,0,0,26,Yes,0,TX,378-3625,Male,19,Yes,No,No,0,Yes,Month-to-Month,Direct Debit,60,3487,,
5437-THZS,No,26,157,315.7,0,0,No,no,0,0,9,Yes,0,MN,358-3261,Female,59,No,No,No,0,No,One Year,Credit Card,52,1363,,
3132-ZCXO,No,14,54,180.6,0,0,No,no,0,0,11,Yes,0,DE,377-9932,Female,49,No,No,No,0,No,Month-to-Month,Credit Card,53,733,,
7736-ZVZC,No,43,164,472.7,0,0,No,no,0,0,7,Yes,0,WA,341-8467,Male,44,No,No,No,0,No,Month-to-Month,Credit Card,41,1774,,
9013-KMUQ,No,34,102,302.2,0,0,No,no,0,0,4,Yes,0,MO,339-9453,Female,62,No,No,No,0,No,One Year,Direct Debit,37,1229,,
3877-IZTZ,No,75,126,301.5,0,0,No,no,0,0,12,Yes,0,IN,344-3388,Male,33,No,No,No,0,Yes,Two Year,Credit Card,29,2183,,
5731-BGMG,No,65,246,714.4,0,0,No,no,0,0,23,Yes,0,RI,386-3671,Male,22,Yes,No,No,0,Yes,One Year,Credit Card,61,3944,,
6459-UAFN,No,1,5,13,11,11.9,Yes,yes,0,0,1,Yes,0,AZ,346-7795,Female,43,No,No,No,0,No,Month-to-Month,Direct Debit,17,17,,
8088-BQFU,No,27,219,405,0,0,No,no,0,0,0,No,0,AZ,405-1842,Female,25,Yes,No,No,0,No,One Year,Direct Debit,13,348,,
8737-CDBU,No,23,141,295.9,92,404.8,Yes,yes,0,0,1,Yes,0,FL,366-6345,Male,64,No,No,No,0,No,One Year,Direct Debit,37,847,,
6799-KEBR,No,59,156,409.6,0,0,No,no,0,0,6,Yes,0,LA,337-9345,Female,48,No,No,No,0,Yes,Month-to-Month,Direct Debit,36,2104,,
0815-COLE,No,69,130,346.9,0,0,No,no,0,0,9,Yes,0,FL,328-6770,Male,45,No,No,No,0,Yes,Two Year,Credit Card,19,1302,,
6495-MIAB,No,67,250,870.3,0,0,No,no,0,0,6,Yes,0,FL,380-7321,Male,41,No,No,No,0,Yes,Two Year,Direct Debit,32,2174,,
2607-EPFH,No,63,266,632.4,0,0,No,no,0,0,5,Yes,0,MD,375-1476,Male,49,No,No,No,0,Yes,Two Year,Direct Debit,51,3242,,
0790-HZYB,No,8,42,85.9,0,0,No,no,0,0,18,Yes,0,AL,356-1567,Female,26,Yes,No,No,0,No,Month-to-Month,Direct Debit,34,267,,
8456-TAUF,No,74,466,1113.3,0,0,No,no,0,0,0,No,0,TN,336-1090,Female,53,No,No,No,0,No,Two Year,Direct Debit,8,617,,
4418-MJGM,No,1,5,13,0,0,No,no,0,0,0,No,0,MS,343-2095,Male,35,No,No,No,0,No,One Year,Direct Debit,10,10,,
7283-XTJW,No,11,36,90.7,0,0,No,no,0,0,0,No,0,OK,338-8050,Female,51,No,No,No,0,No,One Year,Direct Debit,8,93,,
0545-AFAG,No,25,132,382,0,0,No,no,0,0,15,Yes,0,IN,388-9568,Male,30,No,No,No,0,No,One Year,Paper Check,29,727,,
4672-CQIQ,No,31,120,407.8,0,0,No,no,0,0,14,Yes,0,MO,402-6591,Female,26,Yes,No,No,0,Yes,One Year,Paper Check,32,1013,,
2824-QJTP,No,30,210,484.7,0,0,No,no,0,0,1,Yes,0,VA,386-9790,Male,66,No,Yes,No,0,No,Month-to-Month,Credit Card,41,1230,,
2093-YEMR,No,48,60,192.6,0,0,No,no,0,0,26,No,57,KY,378-5692,Female,22,Yes,No,No,0,No,Two Year,Credit Card,31,1509,,
4429-DMVA,No,53,297,746.8,106,556.5,Yes,yes,0,0,1,Yes,0,MD,360-3324,Male,53,No,No,No,0,No,Two Year,Credit Card,65,3452,,
3501-GSCQ,No,51,226,609.3,306,561,Yes,yes,0,0,11,Yes,0,OH,410-3719,Male,62,No,No,No,0,No,Month-to-Month,Credit Card,53,2713,,
0353-VDEC,No,77,363,928.5,0,0,No,no,0,0,0,No,0,NV,327-6179,Female,66,No,Yes,No,0,No,Two Year,Credit Card,13,1017,,
9944-LAXU,No,28,166,390.8,140,252,Yes,yes,0,0,0,No,0,ID,359-6196,Female,46,No,No,No,0,No,Month-to-Month,Direct Debit,14,397,,
5801-KQFY,No,10,34,70.7,0,0,No,no,0,0,7,Yes,0,SD,357-4078,Female,44,No,No,No,0,No,Two Year,Paper Check,15,156,,
1998-WXQP,No,18,139,285.6,0,0,No,no,0,0,12,Yes,0,IL,366-5780,Male,41,No,No,No,0,No,Month-to-Month,Direct Debit,42,754,,
2723-OOHS,No,14,61,129.6,0,0,No,no,0,0,0,No,0,AL,355-9295,Male,43,No,No,No,0,No,Two Year,Paper Check,7,99,,
5956-HJOF,No,73,476,953.3,0,0,No,no,0,0,3,Yes,0,NJ,400-5751,Female,36,No,No,No,0,Yes,Two Year,Direct Debit,54,3996,,
2339-RNOX,No,72,161,360.7,144,885.6,Yes,yes,0,0,11,Yes,0,NV,338-1027,Male,53,No,No,No,0,Yes,Two Year,Direct Debit,71,5129,,
1422-CZKM,No,43,81,213.4,0,0,No,no,0,0,4,Yes,0,IN,405-8867,Female,37,No,No,No,0,No,One Year,Credit Card,31,1306,,
0288-QBTS,No,65,258,843.6,0,0,No,no,0,0,13,Yes,0,WV,336-5616,Female,82,No,Yes,No,0,Yes,One Year,Direct Debit,47,3077,,
5972-TBZR,No,13,22,93.4,0,0,No,no,0,0,5,Yes,0,VA,335-1697,Female,66,No,Yes,No,0,Yes,One Year,Direct Debit,32,429,,
1843-AELD,No,4,23,50.8,0,0,No,no,0,0,6,Yes,0,SC,331-5138,Prefer not to say,70,No,Yes,No,0,No,One Year,Direct Debit,34,123,,
7787-NLQX,No,39,124,272.7,0,0,No,no,0,0,8,No,66,RI,385-8240,Male,34,No,No,No,0,Yes,One Year,Paper Check,38,1478,,
5332-XPON,No,43,292,694.7,0,0,No,no,0,0,24,Yes,0,NM,349-1687,Male,30,No,No,No,0,Yes,One Year,Direct Debit,41,1798,,
6593-HFZC,No,49,220,592.9,0,0,No,no,0,0,15,Yes,0,OR,380-2558,Female,27,Yes,No,No,0,Yes,One Year,Direct Debit,37,1819,,
6255-VOJP,No,31,151,346.1,0,0,No,no,0,0,3,Yes,0,MI,349-2808,Male,60,No,No,No,0,Yes,One Year,Credit Card,39,1223,,
8316-LFXC,No,10,51,136.2,30,109,Yes,yes,0,0,0,No,0,TX,411-1715,Male,29,Yes,No,No,0,No,Month-to-Month,Credit Card,10,93,,
3689-KQVT,No,69,123,275.7,0,0,No,no,0,0,13,Yes,0,FL,385-2488,Female,21,Yes,No,No,0,Yes,Two Year,Direct Debit,34,2373,,
